date,number,winners,topic,cemantix,cémantix,pedantix,pédantix
2022-05-14,1,4398,Affaire Dreyfus,76,46,0,0
2022-05-15,2,6632,Nestlé,57,48,19,0
2022-05-16,3,9224,Formation et évolution du Système solaire,67,73,12,0
2022-05-17,4,13865,Strasbourg,67,77,27,0
2022-05-18,5,11130,Processeur,67,73,42,50
2022-05-19,6,12771,Empire State Building,66,61,37,57
2022-05-20,7,11447,Homophobie,54,51,49,46
2022-05-21,8,8422,Alfred Russel Wallace,43,41,49,32
2022-05-22,9,11999,Rôle du cheval dans la guerre,64,42,40,35
2022-05-23,10,13443,Magic Johnson,62,75,54,0
2022-05-24,11,14634,Émeu d'Australie,51,66,50,69
2022-05-25,12,16844,Histoire de l'Australie,50,68,41,73
2022-05-26,13,12320,Dynastie Shang,51,45,51,33
2022-05-27,14,14235,Ukrainien,64,60,51,48
2022-05-28,15,13440,Handball,54,53,48,35
2022-05-29,16,13884,Science-fiction,62,47,57,0
2022-05-30,17,15492,Nankin,50,56,56,45
2022-05-31,18,18473,Comédie musicale,80,94,57,58
2022-06-01,19,14414,Truffe (champignon),73,76,61,68
2022-06-02,20,21018,La Réunion,56,82,53,49
2022-06-03,21,18875,Munich,70,70,56,32
2022-06-04,22,16796,Nantes,52,52,41,37
2022-06-05,23,17110,Fleuve Saint-Laurent,66,70,53,38
2022-06-06,24,17769,Rage (maladie),54,47,54,41
2022-06-07,25,18383,Fonction d'onde,60,66,65,78
2022-06-08,26,20062,Constantinople,53,93,66,57
2022-06-09,27,16157,Transition de phase,85,97,86,84
2022-06-10,28,15903,Quasar,53,55,100,100
2022-06-11,29,11291,Société des Nations,48,64,71,42
2022-06-12,30,12781,Trilobita,53,40,75,55
2022-06-13,31,17638,Champ magnétique,72,96,67,56
2022-06-14,32,19528,Guerres turco-byzantines,64,72,66,43
2022-06-15,33,19068,Arts de l'Islam,56,67,70,77
2022-06-16,34,15134,Isambard Kingdom Brunel,59,74,76,59
2022-06-17,35,14006,Tourbière,60,59,78,49
2022-06-18,36,14814,Statue de la Liberté,74,54,50,37
2022-06-19,37,14940,Edward Hopper,100,100,54,36
2022-06-20,38,18482,Canoë,52,47,76,64
2022-06-21,39,18250,Os,75,88,68,65
2022-06-22,40,18152,Âne commun,66,71,61,80
2022-06-23,41,16318,Ishtar,63,62,73,44
2022-06-24,42,16918,Feu d'artifice,71,83,62,44
2022-06-25,43,15740,Sardaigne,50,39,50,0
2022-06-26,44,15468,Épée,67,55,53,33
2022-06-27,45,18186,Politique de sécurité nationale,70,65,79,65
2022-06-28,46,21147,Aigle royal,69,71,71,72
2022-06-29,47,18147,Architecture byzantine,63,75,65,73
2022-06-30,48,18905,Pokémon,61,95,78,47
2022-07-01,49,19621,Bombardements atomiques d'Hiroshima et de Nagasaki,57,61,70,57
2022-07-02,50,17410,Degré Fahrenheit,66,61,61,0
2022-07-03,51,15868,Pollution de l'eau,75,54,58,34
2022-07-04,52,20897,Bibliothèque nationale de France,71,63,68,39
2022-07-05,53,19055,Fièvre du Nil occidental,56,62,85,48
2022-07-06,54,20490,Baseball,55,71,67,69
2022-07-07,55,18687,Université Yale,50,66,77,82
2022-07-08,56,15596,Psychologie analytique,66,60,73,37
2022-07-09,57,11713,Ciment,67,42,60,36
2022-07-10,58,14039,Utopie,70,55,54,58
2022-07-11,59,20204,Squelette humain,44,39,66,97
2022-07-12,60,22021,Animal de compagnie,69,68,59,51
2022-07-13,61,18729,Karaté,48,50,63,45
2022-07-14,62,17499,Rugby à XV,43,31,58,33
2022-07-15,63,13444,Dessalement,42,35,65,30
2022-07-16,64,14820,Plongée sous-marine,58,57,42,0
2022-07-17,65,15196,Relativité restreinte,62,48,54,0
2022-07-18,66,18338,Alpinisme,62,52,64,66
2022-07-19,67,20155,Manchester,68,78,53,56
2022-07-20,68,19522,Guerre anglo-zouloue,51,48,72,50
2022-07-21,69,19508,David Lloyd George,43,45,70,40
2022-07-22,70,17002,Navire de ligne,55,52,66,64
2022-07-23,71,11375,Mexico-Tenochtitlan,60,33,57,45
2022-07-24,72,13989,Abbas Kiarostami,49,37,62,0
2022-07-25,73,18178,Xénon,55,54,69,42
2022-07-26,74,14851,Adivasis,47,41,66,41
2022-07-27,75,17202,Gdańsk,58,60,71,43
2022-07-28,76,20597,Eau de Javel,64,61,55,46
2022-07-29,77,18598,Masse volumique,54,58,56,42
2022-07-30,78,14906,Virginité,57,41,47,48
2022-07-31,79,15413,Témoins de Jéhovah,65,52,59,0
2022-08-01,80,19666,Alexandrie,58,57,51,34
2022-08-02,81,18556,Physique du solide,51,38,58,30
2022-08-03,82,20501,Stendhal,49,62,66,41
2022-08-04,83,20074,Oscars du cinéma,56,43,64,43
2022-08-05,84,15333,Art hellénistique,40,38,68,38
2022-08-06,85,12866,Projet Manhattan,72,56,67,0
2022-08-07,86,14191,Actinide,54,38,65,0
2022-08-08,87,19294,Minneapolis,57,52,63,0
2022-08-09,88,11591,Homotopie,48,56,99,53
2022-08-10,89,17942,Guerre civile du Sri Lanka,68,54,65,38
2022-08-11,90,16038,Drone,73,85,58,54
2022-08-12,91,20447,Guadeloupe,52,53,48,34
2022-08-13,92,12775,Horatio Nelson,69,52,56,0
2022-08-14,93,14221,Langage de programmation,58,38,66,37
2022-08-15,94,17900,Comédie,55,37,66,0
2022-08-16,95,18021,Triton (lune),62,38,60,34
2022-08-17,96,16220,Hernando de Soto (conquistador),71,60,60,55
2022-08-18,97,16917,Coleoptera,60,60,71,65
2022-08-19,98,14908,Organisme génétiquement modifié,79,58,71,61
2022-08-20,99,10812,Absolu (philosophie),65,48,75,39
2022-08-21,100,20370,Grèce,57,44,48,57
2022-08-22,101,23138,Tunisie,53,44,47,48
2022-08-23,102,17971,Empire khmer,63,54,67,64
2022-08-24,103,15085,Perspective (représentation),73,44,71,59
2022-08-25,104,17977,Mercure (chimie),61,43,71,46
2022-08-26,105,17866,Sulfate de sodium,66,53,70,0
2022-08-27,106,11464,Équations de Navier-Stokes,62,38,64,0
2022-08-28,107,11190,Hypertext Transfer Protocol,76,48,54,43
2022-08-29,108,19767,Noix,56,32,71,45
2022-08-30,109,19445,Race humaine,71,73,70,60
2022-08-31,110,15823,Jan Hus,63,53,69,28
2022-09-01,111,23536,Amérique,54,55,51,54
2022-09-02,112,17735,Ère de l'information,62,49,63,36
2022-09-03,113,13445,Mickey Mouse,64,50,62,0
2022-09-04,114,14583,Virus de l'immunodéficience humaine,53,37,69,32
2022-09-05,115,13789,Système dynamique,64,46,71,45
2022-09-06,116,22003,Molécule d'eau,56,48,53,29
2022-09-07,117,17500,Industrie textile,55,59,58,38
2022-09-08,118,16991,Compagnie néerlandaise des Indes orientales,62,66,58,50
2022-09-09,119,18472,Âge d'or de la peinture néerlandaise,59,47,57,50
2022-09-10,120,11801,Empire parthe,38,33,42,0
2022-09-11,121,13649,Giuseppe Garibaldi,35,29,52,36
2022-09-12,122,19223,Pretoria,51,33,57,0
2022-09-13,123,17493,Saké,46,39,60,0
2022-09-14,124,17773,Capoeira,57,50,51,39
2022-09-15,125,11272,Chaîne de Markov,64,46,74,48
2022-09-16,126,16719,Déjeuner,66,56,65,48
2022-09-17,127,13371,Johannesbourg,61,44,41,0
2022-09-18,128,14199,Faucon pèlerin,47,34,46,34
2022-09-19,129,13391,Echinodermata,51,37,64,60
2022-09-20,130,16051,Oignon,44,29,65,46
2022-09-21,131,12638,Variété (géométrie),56,46,79,56
2022-09-22,132,18627,Signe du zodiaque,51,65,60,50
2022-09-23,133,19973,Mur de Berlin,52,50,43,0
2022-09-24,134,11452,Imprimante,54,44,57,33
2022-09-25,135,14092,Tantale (chimie),46,35,46,0
2022-09-26,136,21039,La Nouvelle-Orléans,58,59,52,31
2022-09-27,137,19631,Royaumes francs,47,50,38,39
2022-09-28,138,18870,François d'Assise,49,58,54,48
2022-09-29,139,15380,Melon (plante),48,59,52,49
2022-09-30,140,12302,Glucide,54,74,56,61
2022-10-01,141,12916,Plutonium,48,36,43,0
2022-10-02,142,13452,Tapisserie de Bayeux,41,34,42,0
2022-10-03,143,15668,Psychiatrie,50,67,66,50
2022-10-04,144,15260,Cinéma indien,52,77,62,55
2022-10-05,145,17021,République romaine,55,75,70,42
2022-10-06,146,12548,Mitochondrie,55,46,58,44
2022-10-07,147,15367,Exoplanète,53,53,51,55
2022-10-08,148,9647,Procédé Haber,45,59,48,32
2022-10-09,149,13913,Pierre Bourdieu,49,42,42,32
2022-10-10,150,16951,Fréquence,49,53,48,69
2022-10-11,151,18177,Histoire de l'Irak,39,49,41,54
2022-10-12,152,16431,Dengue,51,50,53,49
2022-10-13,153,21553,Algérie,40,44,44,48
2022-10-14,154,14468,Milton Friedman,48,72,52,31
2022-10-15,155,10246,Enthalpie,45,43,42,0
2022-10-16,156,13778,Communication non verbale,45,40,38,36
2022-10-17,157,16505,New Age,39,47,65,61
