date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday
2022-05-14,1,4398,Affaire Dreyfus,0.0,3.0,8.0,73.0,False
2022-05-15,2,6632,Nestlé,0.0,6.0,7.0,56.0,False
2022-05-16,3,9224,Formation et évolution du Système solaire,0.0,6.0,12.0,69.0,False
2022-05-17,4,13865,Strasbourg,3.0,8.0,12.0,66.0,False
2022-05-18,5,11130,Processeur,4.0,12.0,12.0,65.0,False
2022-05-19,6,12771,Empire State Building,6.0,11.0,12.0,63.0,False
2022-05-20,7,11447,Homophobie,4.0,14.0,8.0,54.0,False
2022-05-21,8,8422,Alfred Russel Wallace,0.0,15.0,7.0,42.0,False
2022-05-22,9,11999,Rôle du cheval dans la guerre,3.0,11.0,7.0,62.0,False
2022-05-23,10,13443,Magic Johnson,3.0,17.0,13.0,60.0,False
2022-05-24,11,14634,Émeu d'Australie,5.0,15.0,11.0,49.0,False
2022-05-25,12,16844,Histoire de l'Australie,6.0,13.0,11.0,50.0,False
2022-05-26,13,12320,Dynastie Shang,0.0,13.0,8.0,50.0,False
2022-05-27,14,14235,Ukrainien,4.0,16.0,9.0,64.0,False
2022-05-28,15,13440,Handball,0.0,14.0,10.0,52.0,False
2022-05-29,16,13884,Science-fiction,3.0,16.0,6.0,60.0,False
2022-05-30,17,15492,Nankin,4.0,18.0,9.0,50.0,False
2022-05-31,18,18473,Comédie musicale,4.0,17.0,17.0,80.0,False
2022-06-01,19,14414,Truffe (champignon),6.0,19.0,12.0,71.0,False
2022-06-02,20,21018,La Réunion,4.0,18.0,13.0,55.0,False
2022-06-03,21,18875,Munich,4.0,15.0,12.0,68.0,False
2022-06-04,22,16796,Nantes,6.0,12.0,10.0,52.0,False
2022-06-05,23,17110,Fleuve Saint-Laurent,0.0,14.0,9.0,63.0,False
2022-06-06,24,17769,Rage (maladie),3.0,15.0,8.0,52.0,False
2022-06-07,25,18383,Fonction d'onde,7.0,19.0,11.0,58.0,False
2022-06-08,26,20062,Constantinople,5.0,18.0,14.0,54.0,False
2022-06-09,27,16157,Transition de phase,6.0,24.0,18.0,85.0,False
2022-06-10,28,15903,Quasar,6.0,27.0,10.0,53.0,False
2022-06-11,29,11291,Société des Nations,3.0,21.0,9.0,50.0,False
2022-06-12,30,12781,Trilobita,3.0,21.0,7.0,55.0,False
2022-06-13,31,17638,Champ magnétique,4.0,19.0,15.0,70.0,False
2022-06-14,32,19528,Guerres turco-byzantines,4.0,18.0,12.0,63.0,False
2022-06-15,33,19068,Arts de l'Islam,6.0,20.0,11.0,58.0,False
2022-06-16,34,15134,Isambard Kingdom Brunel,5.0,24.0,11.0,59.0,False
2022-06-17,35,14006,Tourbière,4.0,22.0,10.0,60.0,False
2022-06-18,36,14814,Statue de la Liberté,5.0,14.0,7.0,74.0,False
2022-06-19,37,14940,Edward Hopper,0.0,16.0,17.0,100.0,False
2022-06-20,38,18482,Canoë,5.0,23.0,9.0,53.0,False
2022-06-21,39,18250,Os,5.0,21.0,13.0,73.0,False
2022-06-22,40,18152,Âne commun,6.0,17.0,11.0,67.0,False
2022-06-23,41,16318,Ishtar,5.0,20.0,11.0,63.0,False
2022-06-24,42,16918,Feu d'artifice,4.0,18.0,14.0,72.0,False
2022-06-25,43,15740,Sardaigne,0.0,14.0,6.0,50.0,False
2022-06-26,44,15468,Épée,3.0,15.0,9.0,66.0,False
2022-06-27,45,18186,Politique de sécurité nationale,4.0,23.0,11.0,70.0,False
2022-06-28,46,21147,Aigle royal,7.0,20.0,12.0,70.0,False
2022-06-29,47,18147,Architecture byzantine,4.0,21.0,11.0,63.0,False
2022-06-30,48,18905,Pokémon,4.0,23.0,15.0,62.0,False
2022-07-01,49,19621,Bombardements atomiques d'Hiroshima et de Nagasaki,5.0,21.0,10.0,55.0,False
2022-07-02,50,17410,Degré Fahrenheit,0.0,16.0,9.0,65.0,False
2022-07-03,51,15868,Pollution de l'eau,4.0,17.0,9.0,75.0,False
2022-07-04,52,20897,Bibliothèque nationale de France,4.0,20.0,12.0,71.0,False
2022-07-05,53,19055,Fièvre du Nil occidental,4.0,24.0,11.0,55.0,False
2022-07-06,54,20490,Baseball,5.0,18.0,12.0,53.0,True
2022-07-07,55,18687,Université Yale,5.0,21.0,9.0,49.0,True
2022-07-08,56,15596,Psychologie analytique,4.0,21.0,14.0,67.0,True
2022-07-09,57,11713,Ciment,4.0,15.0,5.0,68.0,True
2022-07-10,58,14039,Utopie,0.0,16.0,9.0,69.0,True
2022-07-11,59,20204,Squelette humain,6.0,21.0,9.0,43.0,True
2022-07-12,60,22021,Animal de compagnie,5.0,17.0,11.0,68.0,True
2022-07-13,61,18729,Karaté,4.5,19.5,9.0,54.0,True
2022-07-14,62,17499,Rugby à XV,0.0,22.0,6.0,57.0,True
2022-07-15,63,13444,Dessalement,4.0,25.0,7.0,56.0,True
2022-07-16,64,14820,Plongée sous-marine,0.0,17.0,12.0,74.0,True
2022-07-17,65,15196,Relativité restreinte,0.0,18.0,9.0,80.0,True
2022-07-18,66,18338,Alpinisme,7.0,25.0,11.0,79.0,True
2022-07-19,67,20155,Manchester,5.0,22.0,16.0,88.0,True
2022-07-20,68,19522,Guerre anglo-zouloue,4.0,28.0,11.0,68.0,True
2022-07-21,69,19508,David Lloyd George,7.0,24.0,8.0,56.0,True
2022-07-22,70,17002,Navire de ligne,6.0,26.0,11.0,70.0,True
2022-07-23,71,11375,Mexico-Tenochtitlan,6.0,21.0,7.0,79.0,True
2022-07-24,72,13989,Abbas Kiarostami,7.0,24.0,7.0,60.0,True
2022-07-25,73,18178,Xénon,7.0,27.0,11.0,72.0,True
2022-07-26,74,14851,Adivasis,5.0,26.0,9.0,62.0,True
2022-07-27,75,17202,Gdańsk,3.0,25.0,12.0,74.0,True
2022-07-28,76,20597,Eau de Javel,5.0,19.0,14.0,83.0,True
2022-07-29,77,18598,Masse volumique,4.0,21.0,13.0,71.0,True
2022-07-30,78,14906,Virginité,4.0,17.0,8.0,73.0,True
2022-07-31,79,15413,Témoins de Jéhovah,0.0,22.0,12.0,86.0,True
2022-08-01,80,19666,Alexandrie,5.0,18.0,13.0,75.0,True
2022-08-02,81,18556,Physique du solide,4.0,20.0,9.0,65.0,True
2022-08-03,82,20501,Stendhal,4.0,23.0,13.0,65.0,True
2022-08-04,83,20074,Oscars du cinéma,6.0,24.0,9.0,72.0,True
2022-08-05,84,15333,Art hellénistique,6.0,27.0,9.0,50.0,True
2022-08-06,85,12866,Projet Manhattan,4.0,24.0,12.0,93.0,True
2022-08-07,86,14191,Actinide,5.0,27.0,9.0,70.0,True
2022-08-08,87,19294,Minneapolis,0.0,24.0,10.0,74.0,True
2022-08-09,88,11591,Homotopie,6.0,37.0,13.0,62.0,True
2022-08-10,89,17942,Guerre civile du Sri Lanka,4.0,25.0,11.0,86.0,True
2022-08-11,90,16038,Drone,6.0,20.0,18.0,98.0,True
2022-08-12,91,20447,Guadeloupe,4.0,19.0,10.0,66.0,True
2022-08-13,92,12775,Horatio Nelson,0.0,22.0,11.0,89.0,True
2022-08-14,93,14221,Langage de programmation,5.0,24.0,10.0,74.0,True
2022-08-15,94,17900,Comédie,0.0,23.0,8.0,72.0,True
2022-08-16,95,18021,Triton (lune),3.0,26.0,8.0,79.0,True
2022-08-17,96,16220,Hernando de Soto (conquistador),5.0,23.0,12.0,88.0,True
2022-08-18,97,16917,Coleoptera,5.0,28.0,12.0,78.0,True
2022-08-19,98,14908,Organisme génétiquement modifié,6.0,27.0,12.0,100.0,True
2022-08-20,99,10812,Absolu (philosophie),4.0,29.0,10.0,86.0,True
2022-08-21,100,20370,Grèce,5.0,17.0,12.0,76.0,True
2022-08-22,101,23138,Tunisie,4.0,19.0,11.0,66.0,True
2022-08-23,102,17971,Empire khmer,8.0,25.0,12.0,82.0,True
2022-08-24,103,15085,Perspective (représentation),7.0,27.0,9.0,94.0,True
2022-08-25,104,17977,Mercure (chimie),5.0,26.0,8.0,78.0,True
2022-08-26,105,17866,Sulfate de sodium,4.0,27.0,11.0,83.0,True
2022-08-27,106,11464,Équations de Navier-Stokes,0.0,24.0,8.0,80.0,True
2022-08-28,107,11190,Hypertext Transfer Protocol,4.0,24.0,12.0,97.0,True
2022-08-29,108,19767,Noix,5.0,25.0,6.0,72.0,True
2022-08-30,109,19445,Race humaine,6.0,26.0,15.0,91.0,True
2022-08-31,110,15823,Jan Hus,4.0,28.0,12.0,82.0,True
2022-09-01,111,23536,Amérique,5.0,20.0,12.0,69.0,True
2022-09-02,112,17735,Ère de l'information,4.0,24.0,12.0,79.0,False
2022-09-03,113,13445,Mickey Mouse,5.0,21.0,10.0,84.0,False
2022-09-04,114,14583,Virus de l'immunodéficience humaine,0.0,24.0,6.0,67.0,False
2022-09-05,115,13789,Système dynamique,5.0,26.0,10.0,83.0,False
2022-09-06,116,22003,Molécule d'eau,4.0,19.0,11.0,70.0,False
2022-09-07,117,17500,Industrie textile,5.0,22.0,12.0,71.0,False
2022-09-08,118,16991,Compagnie néerlandaise des Indes orientales,6.0,23.0,16.0,79.0,False
2022-09-09,119,18472,Âge d'or de la peinture néerlandaise,6.0,20.0,10.0,72.0,False
2022-09-10,120,11801,Empire parthe,0.0,18.0,7.0,51.0,False
2022-09-11,121,13649,Giuseppe Garibaldi,4.0,19.0,7.0,49.0,False
2022-09-12,122,19223,Pretoria,0.0,20.0,8.0,69.0,False
2022-09-13,123,17493,Saké,0.0,23.0,9.0,59.0,False
2022-09-14,124,17773,Capoeira,5.0,20.0,14.0,76.0,False
2022-09-15,125,11272,Chaîne de Markov,4.0,28.0,11.0,84.0,False
2022-09-16,126,16719,Déjeuner,6.0,24.0,11.0,85.0,False
2022-09-17,127,13371,Johannesbourg,0.0,16.0,10.0,78.0,False
2022-09-18,128,14199,Faucon pèlerin,5.0,17.0,7.0,64.0,False
2022-09-19,129,13391,Echinodermata,6.0,25.0,11.0,67.0,False
2022-09-20,130,16051,Oignon,6.0,24.0,9.0,57.0,False
2022-09-21,131,12638,Variété (géométrie),5.0,32.0,12.0,73.0,False
2022-09-22,132,18627,Signe du zodiaque,6.0,22.0,11.0,66.0,False
2022-09-23,133,19973,Mur de Berlin,6.0,15.0,12.0,67.0,False
2022-09-24,134,11452,Imprimante,0.0,21.0,8.0,68.0,False
2022-09-25,135,14092,Tantale (chimie),0.0,19.0,9.0,59.0,False
2022-09-26,136,21039,La Nouvelle-Orléans,5.0,20.0,11.0,73.0,False
2022-09-27,137,19631,Royaumes francs,5.0,15.0,11.0,58.0,False
2022-09-28,138,18870,François d'Assise,5.0,22.0,11.0,64.0,False
2022-09-29,139,15380,Melon (plante),6.0,20.0,12.0,65.0,False
2022-09-30,140,12302,Glucide,4.0,20.0,14.0,70.0,False
2022-10-01,141,12916,Plutonium,0.0,19.0,7.0,64.0,False
2022-10-02,142,13452,Tapisserie de Bayeux,0.0,17.0,8.0,54.0,False
2022-10-03,143,15668,Psychiatrie,6.0,27.0,14.0,63.0,False
2022-10-04,144,15260,Cinéma indien,5.0,23.0,17.0,69.0,False
2022-10-05,145,17021,République romaine,7.0,26.0,16.0,71.0,False
2022-10-06,146,12548,Mitochondrie,6.0,20.0,11.0,73.0,False
2022-10-07,147,15367,Exoplanète,6.0,20.0,11.0,67.0,False
2022-10-08,148,9647,Procédé Haber,4.0,17.0,12.0,59.0,False
2022-10-09,149,13913,Pierre Bourdieu,0.0,17.0,10.5,68.5,False
2022-10-10,150,16951,Fréquence,9.0,22.0,12.0,81.0,False
2022-10-11,151,18177,Histoire de l'Irak,11.0,17.0,14.0,62.0,False
2022-10-12,152,16431,Dengue,8.0,28.0,14.0,81.0,False
2022-10-13,153,21553,Algérie,5.0,22.0,12.0,65.0,False
2022-10-14,154,14468,Milton Friedman,6.0,25.0,20.0,75.0,False
2022-10-15,155,10246,Enthalpie,0.0,17.0,10.0,74.0,False
2022-10-16,156,13778,Communication non verbale,0.0,18.0,10.0,68.0,False
2022-10-17,157,16505,New Age,7.0,32.0,10.0,62.0,False
2022-10-18,158,15068,Plotin,11.0,28.0,14.0,69.0,False
2022-10-19,159,16915,Totalitarisme,9.0,24.0,8.0,72.0,False
2022-10-20,160,15605,Déforestation,6.0,29.0,16.0,69.0,False
2022-10-21,161,15386,Lave-linge,5.0,22.0,15.0,73.0,False
2022-10-22,162,11519,Mythologie nordique,0.0,17.0,5.0,64.0,True
2022-10-23,163,14629,Tsunami,0.0,19.0,11.0,83.0,True
2022-10-24,164,16030,John Singer Sargent,7.0,31.0,10.0,70.0,True
2022-10-25,165,17349,Ursidae,6.0,22.0,13.0,68.0,True
2022-10-26,166,21123,Guerre de Corée,6.0,24.0,12.0,77.0,True
